timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_receive,network_transmit,active_processes,cpu_change,memory_change,disk_read_speed,disk_write_speed,network_receive_speed,network_transmit_speed,cpu_rolling,memory_std,cpu_mem_ratio,disk_cpu_ratio,high_cpu,high_memory,hour,day_of_week
23:03.7,52.78262182,22.13142885,53945344,1957888,1031646873,6968611,1,6.679113043,-32.9185075,0,0,36802,63014,50.21192864,12.84545428,2.384962226,1003025.553,0,0,23,1
44:06.3,99.97738302,55.58039967,20329472,1601536,73386,39195,1,47.1947612,33.44897082,-33615872,-356352,-1031573487,-6929416,58.84611655,14.43662373,1.798788487,201326.9843,1,0,15,2
45:13.1,99.80450562,65.01934092,20718592,1630208,74064,40987,1,-0.172877399,9.438941243,389120,28672,678,1792,68.81382371,16.33467238,1.53499719,205532.4003,1,0,15,2
46:14.5,99.24289382,34.72147932,20718592,1630208,104585,57113,1,-0.561611795,-30.29786159,0,0,30521,16126,79.58218261,17.54338811,2.858256496,206683.8976,1,0,15,2
47:03.5,98.95656331,51.83446012,20718592,1630208,4007124,951388,1,-0.286330515,17.1129808,0,0,3902539,894275,90.15279351,17.20735588,1.909088338,207275.9538,1,0,15,2
48:08.2,98.56099837,59.75195418,20718592,1630208,43551892,1589139,1,-0.395564938,7.91749406,0,0,39544768,637751,99.30846883,11.52656596,1.64950251,208099.4801,1,0,15,2
49:04.4,89.23897407,44.92831809,20718592,1630208,43565932,1626961,1,-9.322024297,-14.82363609,0,0,14040,37822,97.16078704,11.99349011,1.986252276,229596.9365,1,0,15,2
50:06.5,85.68704299,63.42558051,20718592,1630208,43766698,1992947,1,-3.551931082,18.49726243,0,0,200766,365986,94.33729451,11.54903412,1.350985553,239004.4842,1,0,15,2
51:04.2,82.72017153,43.94175916,20718592,1630208,44151142,2041489,1,-2.966871463,-19.48382135,0,0,384444,48542,91.03275005,8.697613479,1.882495674,247474.3138,1,0,15,2
52:03.9,72.45359645,47.84667302,20718592,1630208,44217444,2060843,1,-10.26657508,3.904913855,0,0,66302,19354,85.73215668,8.983714489,1.514287031,282063.6838,0,0,15,2
53:08.5,62.71214987,57.00669184,20718592,1630208,44218823,2062222,1,-9.741446583,9.160018824,0,0,1379,1379,78.56238698,8.458417322,1.100084005,325190.5962,0,0,15,2
54:05.2,68.95541822,41.35191286,20718592,1630208,44248202,2210845,1,6.243268348,-15.65477899,0,0,29379,148623,74.50567581,9.258992036,1.667526686,296168.5103,0,0,15,2
55:03.2,63.24153732,56.27609876,20718592,1630208,44301918,2228081,1,-5.713880898,14.9241859,0,0,53716,17236,70.01657468,7.10726503,1.123772591,322510.8375,0,0,15,2
56:08.4,62.9937298,35.17556043,20718592,1630208,259004659,2945764,1,-0.247807515,-21.10053833,0,0,214702741,717683,66.07128633,9.449909283,1.790837986,323759.7193,0,0,15,2
57:06.0,71.51177069,41.61729089,20718592,1630208,497994066,3620010,1,8.518040888,6.441730467,0,0,238989407,674246,65.88292118,9.802030832,1.718318736,285727.2937,0,0,15,2
58:03.9,71.7503109,43.24651921,20718592,1630208,658469620,4269150,1,0.238540209,1.629228315,0,0,160475554,649140,67.69055339,7.75793972,1.659100252,284790.4256,0,0,15,2
59:09.2,75.09289506,34.97354254,20718592,1630208,685397484,4346452,1,3.342584163,-8.272976665,0,0,26927864,77302,68.91804875,8.67639098,2.147134365,272280.2435,0,0,15,2
00:03.5,81.89060504,45.35588434,20718592,1630208,685420359,4374379,1,6.797709981,10.3823418,0,0,22875,27927,72.6478623,4.752744033,1.805512256,249951.0287,1,0,16,2
01:03.4,75.42351174,48.40819091,20718592,1630208,685420737,4374813,1,-6.4670933,3.052306562,0,0,378,434,75.13381869,5.020064607,1.558073341,271102.3287,0,0,16,2
02:03.3,74.61759753,55.77392362,20718592,1630208,685444015,4380599,1,-0.805914214,7.365732717,0,0,23278,5786,75.75498406,7.5812765,1.337858137,273991.6723,0,0,16,2
03:04.5,74.35636583,42.83513734,20718592,1630208,685711631,10201905,1,-0.2612317,-12.93878629,0,0,267616,5821306,76.27619504,7.614705319,1.735873174,274941.4966,0,0,16,2
04:13.3,69.89494811,58.59368005,20718592,1630208,685724936,10221223,1,-4.461417725,15.75854272,0,0,13305,19318,75.23660565,6.753508487,1.192875205,292243.5597,0,0,16,2
05:04.5,70.50495268,49.82254565,20718592,1630208,685754385,10261431,1,0.610004578,-8.771134399,0,0,29449,40208,72.95947518,6.228675589,1.415121443,289750.447,0,0,16,2
06:02.3,77.45032334,52.60453852,20718592,1630208,685778863,10337357,1,6.945370658,2.781992861,0,0,24478,75926,73.3648375,6.05791202,1.472312571,264098.2359,0,0,16,2
07:04.5,73.95456874,62.41319544,20718592,1630208,685825006,10387186,1,-3.495754601,9.808656925,0,0,46143,49829,73.23223174,7.634664733,1.184918802,276415.332,0,0,16,2
08:03.8,74.23704967,55.71745044,20718592,1630208,685855232,10429605,1,0.282480928,-6.695744998,0,0,30226,42419,73.20836851,4.936652868,1.332384183,275377.518,0,0,16,2
09:05.8,72.53245614,68.46684496,20718592,1630208,685894227,10475770,1,-1.704593528,12.74939452,0,0,38995,46165,73.73587011,7.583413535,1.059380729,281761.1853,0,0,16,2
10:03.9,68.56140351,53.02234823,20718592,1630208,685931764,10540233,1,-3.971052632,-15.44449673,0,0,37537,64463,73.34716028,6.839949207,1.293066147,297846.0893,0,0,16,2
11:05.3,70.08169109,55.99556938,20718592,1630208,686373996,10593638,1,1.520287581,2.973221152,0,0,442232,53405,71.87343383,6.259579994,1.25155779,291475.7891,0,0,16,2
12:05.0,74.68851861,53.97378359,20718592,1630208,687112225,10609777,1,4.606827518,-2.021785792,0,0,738229,16139,72.0202238,6.288383234,1.383792531,273734.9387,0,0,16,2
13:02.4,71.82800867,55.93852229,20718592,1630208,687112468,10610020,1,-2.860509935,1.964738697,0,0,243,243,71.5384156,6.274046963,1.284052666,284486.5921,0,0,16,2
14:03.3,71.48368692,59.57346679,20718592,1630208,687139852,10652831,1,-0.344321755,3.634944502,0,0,27384,42811,71.32866176,2.514837891,1.199924912,285837.9986,0,0,16,2
15:09.3,74.17280702,54.56124241,20718592,1630208,687442241,10720305,1,2.6891201,-5.012224378,0,0,302389,67474,72.45094246,2.176503945,1.359441313,275612.8555,0,0,16,2
16:08.0,76.95222723,42.7582328,20718592,1630208,687523713,10759945,1,2.779420215,-11.80300961,0,0,81472,39640,73.82504969,6.314133403,1.799705511,265785.7605,0,0,16,2
17:02.3,75.10640612,54.13092136,20718592,1630208,687541006,10794432,1,-1.84582111,11.37268856,0,0,17293,34487,73.90862719,6.318335296,1.387495432,272231.906,0,0,16,2
18:08.8,75.00675517,59.6478461,20718592,1630208,687542174,10801202,1,-0.099650954,5.516924737,0,0,1168,6770,74.54437649,6.884419402,1.257493105,272588.8239,0,0,16,2
19:06.0,76.27807018,63.19819561,20718592,1630208,687576501,10840662,1,1.271315007,3.550349514,0,0,34327,39460,75.50325314,7.738258119,1.20696595,268104.4176,0,0,16,2
20:03.1,75.95546542,54.57421288,20718592,1630208,687604210,10884978,1,-0.322604759,-8.623982737,0,0,27709,44316,75.85978482,7.7381354,1.391783068,269228.3373,0,0,16,2
21:07.1,70.83058437,64.94771639,20718592,1630208,687631054,10932506,1,-5.124881046,10.37350352,0,0,26844,47528,74.63545625,4.905763551,1.090578519,288436.9128,0,0,16,2
22:04.7,74.4035297,43.97183228,20718592,1630208,687677598,10981365,1,3.57294533,-20.97588412,0,0,46544,48859,74.49488097,8.423976147,1.692072535,274769.5245,0,0,16,2
23:04.0,74.9478116,48.15635725,20718592,1630208,702584102,11101500,1,0.544281895,4.184524971,0,0,14906504,120135,74.48309225,9.148771709,1.556343043,272800.3818,0,0,16,2
24:07.0,74.34491688,53.40159089,20718592,1630208,734329561,11236523,1,-0.602894718,5.245233641,0,0,31745459,135023,74.09646159,7.911313121,1.392185432,274983.275,0,0,16,2
25:02.7,75.38543319,47.46100251,20718592,1630208,861853494,11570447,1,1.040516309,-5.940588377,0,0,127523933,333924,73.98245515,8.194288019,1.588365799,271237.4747,0,0,16,2
26:32.1,79.47909137,54.16512666,20718592,1630208,925660875,11752736,1,4.093658188,6.704124149,0,0,63807381,182289,75.71215655,4.28618897,1.46734802,257440.6799,0,0,16,2
